date,ren_share_daily_avg
2025-03-20,41.9
2025-03-21,62.9
2025-03-22,91.7
2025-03-23,63.5
2025-03-24,29.0
2025-03-25,42.7
2025-03-26,38.1
2025-03-27,43.4
2025-03-28,52.9
2025-03-29,55.1
2025-03-30,94.2
2025-03-31,54.2
2025-04-01,53.2
2025-04-02,73.6
2025-04-03,62.7
2025-04-04,50.9
2025-04-05,75.7
2025-04-06,71.6
2025-04-07,51.2
2025-04-08,41.7
2025-04-09,49.3
2025-04-10,53.1
2025-04-11,69.4
2025-04-12,62.6
2025-04-13,80.8
2025-04-14,47.6
2025-04-15,68.4
2025-04-16,48.9
2025-04-17,52.5
2025-04-18,44.8
2025-04-19,50.8
2025-04-20,60.3
2025-04-21,45.7
2025-04-22,38.4
2025-04-23,40.3
2025-04-24,41.0
2025-04-25,38.0
2025-04-26,68.6
2025-04-27,74.2
2025-04-28,50.3
2025-04-29,51.8
2025-04-30,49.4
2025-05-01,60.6
2025-05-02,65.8
2025-05-03,62.2
2025-05-04,77.1
2025-05-05,55.9
2025-05-06,60.8
2025-05-07,52.1
2025-05-08,51.1
2025-05-09,56.4
2025-05-10,62.4
2025-05-11,80.9
2025-05-12,77.2
2025-05-13,60.2
2025-05-14,65.2
2025-05-15,70.8
2025-05-16,64.0
2025-05-17,69.9
2025-05-18,66.9
2025-05-19,50.4
2025-05-20,52.6
2025-05-21,70.8
2025-05-22,74.7
2025-05-23,70.9
2025-05-24,80.2
2025-05-25,81.2
2025-05-26,67.5
2025-05-27,73.8
2025-05-28,70.3
2025-05-29,74.1
2025-05-30,85.2
2025-05-31,58.5
2025-06-01,73.1
2025-06-02,51.3
2025-06-03,60.2
2025-06-04,59.6
2025-06-05,63.5
2025-06-06,87.9
2025-06-07,68.8
2025-06-08,97.6
2025-06-09,85.7
2025-06-10,81.4
2025-06-11,67.6
2025-06-12,73.6
2025-06-13,84.8
2025-06-14,83.8
2025-06-15,63.4
2025-06-16,61.4
2025-06-17,55.9
2025-06-18,58.0
2025-06-19,75.2
2025-06-20,63.3
2025-06-21,63.5
2025-06-22,76.4
2025-06-23,84.7
2025-06-24,87.0
2025-06-25,71.6
2025-06-26,61.4
2025-06-27,66.4
2025-06-28,83.2
2025-06-29,80.5
2025-06-30,56.6
2025-07-01,52.3
2025-07-02,55.4
2025-07-03,60.6
2025-07-04,55.4
2025-07-05,79.0
2025-07-06,64.0
2025-07-07,49.9
2025-07-08,60.6
2025-07-09,54.0
2025-07-10,48.8
2025-07-11,54.3
2025-07-12,57.0
2025-07-13,54.1
2025-07-14,42.6
2025-07-15,51.1
2025-07-16,48.8
2025-07-17,56.7
2025-07-18,41.6
2025-07-19,62.7
2025-07-20,66.7
2025-07-21,39.8
2025-07-22,61.5
2025-07-23,74.9
2025-07-24,38.0
2025-07-25,42.6
2025-07-26,43.7
2025-07-27,51.0
2025-07-28,57.2
2025-07-29,66.4
2025-07-30,65.0
2025-07-31,64.1
2025-08-01,53.9
2025-08-02,68.9
2025-08-03,80.6
2025-08-04,72.9
2025-08-05,82.1
2025-08-06,73.4
2025-08-07,58.3
2025-08-08,58.7
2025-08-09,62.8
2025-08-10,78.1
2025-08-11,55.9
2025-08-12,56.5
2025-08-13,54.4
2025-08-14,47.2
2025-08-15,57.5
2025-08-16,71.9
2025-08-17,63.8
2025-08-18,51.6
2025-08-19,53.4
2025-08-20,51.1
2025-08-21,58.3
2025-08-22,66.4
2025-08-23,74.0
2025-08-24,66.4
2025-08-25,52.6
2025-08-26,50.6
2025-08-27,52.4
2025-08-28,32.1
2025-08-29,50.3
2025-08-30,64.0
2025-08-31,73.0
2025-09-01,45.7
2025-09-02,44.0
2025-09-03,74.9
2025-09-04,61.6
2025-09-05,46.1
2025-09-06,56.5
2025-09-07,85.1
2025-09-08,48.8
2025-09-09,32.2
2025-09-10,31.0
2025-09-11,69.6
2025-09-12,74.3
2025-09-13,78.3
2025-09-14,66.9
2025-09-15,93.9
2025-09-16,93.0
2025-09-17,73.1
2025-09-18,76.7
2025-09-19,61.7
2025-09-20,79.9
2025-09-21,80.2
2025-09-22,51.2
2025-09-23,47.9
2025-09-24,70.4
2025-09-25,69.5
2025-09-26,56.6
2025-09-27,47.7
2025-09-28,45.7
2025-09-29,36.8
2025-09-30,35.3
2025-10-01,42.8
2025-10-02,50.5
2025-10-03,81.6
2025-10-04,100.2
2025-10-05,105.3
2025-10-06,65.4
2025-10-07,29.9
2025-10-08,30.9
2025-10-09,39.6
2025-10-10,52.7
2025-10-11,51.2
2025-10-12,46.8
2025-10-13,25.8
2025-10-14,32.5
2025-10-15,27.9
2025-10-16,40.4
2025-10-17,41.3
2025-10-18,46.7
2025-10-19,73.8
2025-10-20,67.3
2025-10-21,75.4
2025-10-22,41.5
2025-10-23,75.0
2025-10-24,95.6
2025-10-25,99.8
2025-10-26,110.7
2025-10-27,83.6
2025-10-28,85.1
2025-10-29,68.6
2025-10-30,76.9
2025-10-31,55.7
2025-11-01,76.9
2025-11-02,53.9
2025-11-03,65.4
2025-11-04,62.4
2025-11-05,56.3
2025-11-06,40.6
2025-11-07,26.8
2025-11-08,20.6
2025-11-09,22.1
2025-11-10,30.0
2025-11-11,47.1
2025-11-12,61.1
2025-11-13,66.2
2025-11-14,40.0
2025-11-15,60.3
2025-11-16,38.9
2025-11-17,47.9
2025-11-18,52.5
2025-11-19,44.5
2025-11-20,35.4
2025-11-21,27.8
2025-11-22,51.8
2025-11-23,68.8
2025-11-24,38.7
2025-11-25,21.9
2025-11-26,23.3
2025-11-27,55.9
2025-11-28,55.3
2025-11-29,52.1
2025-11-30,61.6
2025-12-01,57.1
2025-12-02,49.5
2025-12-03,20.8
2025-12-04,25.1
2025-12-05,21.2
2025-12-06,67.4
2025-12-07,65.4
2025-12-08,71.1
2025-12-09,54.8
2025-12-10,60.6
2025-12-11,53.7
2025-12-12,28.1
2025-12-13,38.3
2025-12-14,56.7
2025-12-15,53.5
2025-12-16,38.6
2025-12-17,34.3
2025-12-18,70.4
2025-12-19,63.2
2025-12-20,31.5
2025-12-21,57.9
2025-12-22,63.7
2025-12-23,75.7
2025-12-24,83.7
2025-12-25,64.5
2025-12-26,41.7
2025-12-27,51.5
2025-12-28,43.3
2025-12-29,60.7
2025-12-30,58.2
2025-12-31,76.9
